[617, 1.8325089127062364]
[618, 2.5622928644564746]
[619, 2.1931245983544616]
[620, 3.0394141191761372]
[621, 3.0394141191761372]
[622, 2.737987326333431]
[623, 3.0394141191761372]
[624, 3.0394141191761372]
[625, 2.737987326333431]
[626, 2.737987326333431]
[627, 2.436162647040756]
[628, 3.0394141191761372]
[629, 2.436162647040756]
[630, 3.0394141191761372]
[631, 2.3404441148401185]
[632, 3.0394141191761372]
[633, 2.1931245983544616]
[634, 2.436162647040756]
[635, 2.2600713879850747]
[636, 2.436162647040756]
[637, 3.0394141191761372]
[638, 0.6989700043360189]
[639, 1.6901960800285136]
[640, 3.0394141191761372]
[641, 2.037426497940624]
[642, 1.380211241711606]
[643, 2.737987326333431]
[644, 1.7781512503836436]
[645, 3.0394141191761372]
[646, 2.3404441148401185]
[647, 3.0394141191761372]
[648, 3.0394141191761372]
[649, 3.0394141191761372]
[650, 2.436162647040756]
[651, 2.2600713879850747]
[652, 2.1931245983544616]
[653, 2.1335389083702174]
[654, 3.0394141191761372]
[655, 3.0394141191761372]
[656, 1.591064607026499]
[657, 3.0394141191761372]
[658, 2.737987326333431]
[659, 2.737987326333431]
[660, 3.0394141191761372]
[661, 2.737987326333431]
[662, 2.1335389083702174]
[663, 0.9030899869919435]
[664, 2.737987326333431]
[665, 3.0394141191761372]
[666, 3.0394141191761372]
[667, 2.737987326333431]
[668, 0.9030899869919435]
[669, 3.0394141191761372]
[670, 1.806179973983887]
[671, 2.5622928644564746]
[672, 2.5622928644564746]
[673, 1.806179973983887]
[674, 3.0394141191761372]
[675, 3.0394141191761372]
[676, 2.5622928644564746]
[677, 3.0394141191761372]
[678, 2.3404441148401185]
[679, 0.6989700043360189]
[680, 3.0394141191761372]
[681, 2.3404441148401185]
[682, 2.737987326333431]
[683, 1.4471580313422192]
[684, 3.0394141191761372]
[685, 1.0]
[686, 0.7781512503836436]
[687, 2.5622928644564746]
[688, 2.436162647040756]
[689, 2.037426497940624]
[690, 3.0394141191761372]
[691, 3.0394141191761372]
[692, 2.1335389083702174]
[693, 3.0394141191761372]
[694, 3.0394141191761372]
[695, 2.436162647040756]
[696, 2.3404441148401185]
[697, 3.0394141191761372]
[698, 3.0394141191761372]
[699, 2.436162647040756]
[700, 2.436162647040756]
[701, 3.0394141191761372]
[702, 2.2600713879850747]
[703, 2.737987326333431]
[704, 3.0394141191761372]
[705, 3.0394141191761372]
[706, 3.0394141191761372]
[707, 3.0394141191761372]
[708, 2.436162647040756]
[709, 3.0394141191761372]
[710, 2.436162647040756]
[711, 3.0394141191761372]
[712, 1.2787536009528289]
[713, 3.0394141191761372]
[714, 3.0394141191761372]
[715, 2.737987326333431]
[716, 3.0394141191761372]
[717, 3.0394141191761372]
[718, 3.0394141191761372]
[719, 1.6901960800285136]
[720, 1.863322860120456]
[721, 1.8325089127062364]
[722, 1.5563025007672873]
[723, 0.6989700043360189]
[724, 1.99563519459755]
[725, 2.737987326333431]
[726, 3.0394141191761372]
[727, 2.436162647040756]
[728, 2.2600713879850747]
[729, 1.7160033436347992]
[730, 1.591064607026499]
[731, 1.7781512503836436]
[732, 3.0394141191761372]
[733, 1.806179973983887]
[734, 1.3424226808222062]
[735, 2.037426497940624]
[736, 1.6532125137753437]
[737, 1.146128035678238]
[738, 3.0394141191761372]
[739, 0.9542425094393249]
[740, 2.5622928644564746]
[741, 3.0394141191761372]
[742, 1.4471580313422192]
[743, 2.1931245983544616]
[744, 1.4913616938342726]
[745, 2.737987326333431]
[746, 1.9590413923210936]
[747, 2.737987326333431]
[748, 2.1931245983544616]
[749, 2.737987326333431]
[750, 3.0394141191761372]
[751, 3.0394141191761372]
[752, 1.568201724066995]
[753, 2.737987326333431]
[754, 1.9242792860618816]
[755, 2.737987326333431]
[756, 2.737987326333431]
[757, 3.0394141191761372]
[758, 3.0394141191761372]
[759, 3.0394141191761372]
[760, 2.5622928644564746]
[761, 1.863322860120456]
[762, 2.2600713879850747]
[763, 3.0394141191761372]
[764, 2.037426497940624]
[765, 2.436162647040756]
[766, 1.9242792860618816]
[767, 2.5622928644564746]
[768, 2.037426497940624]
[769, 3.0394141191761372]
[770, 2.5622928644564746]
[771, 1.863322860120456]
[772, 0.47712125471966244]
[773, 3.0394141191761372]
[774, 0.9542425094393249]
[775, 1.2041199826559248]
[776, 1.2304489213782739]
[777, 2.737987326333431]
[778, 2.037426497940624]
[779, 1.255272505103306]
[780, 1.863322860120456]
[781, 1.9590413923210936]
[782, 3.0394141191761372]
[783, 3.0394141191761372]
[784, 1.7558748556724915]
[785, 2.3404441148401185]
[786, 1.8325089127062364]
[787, 2.436162647040756]
[788, 3.0394141191761372]
[789, 2.3404441148401185]
[790, 3.0394141191761372]
[791, 1.5185139398778875]
[792, 3.0394141191761372]
[793, 1.5314789170422551]
[794, 2.737987326333431]
[795, 2.3404441148401185]
[796, 3.0394141191761372]
[797, 2.436162647040756]
[798, 3.0394141191761372]
[799, 2.0827853703164503]
[800, 2.737987326333431]
[801, 1.7781512503836436]
[802, 1.6720978579357175]
[803, 1.1760912590556813]
[804, 2.5622928644564746]
[805, 3.0394141191761372]
[806, 3.0394141191761372]
[807, 2.737987326333431]
[808, 0.6020599913279624]
[809, 1.6020599913279623]
[810, 3.0394141191761372]
[811, 1.6020599913279623]
[812, 3.0394141191761372]
[813, 3.0394141191761372]
[814, 1.7781512503836436]
[815, 2.436162647040756]
[816, 3.0394141191761372]
[817, 2.5622928644564746]
[818, 3.0394141191761372]
[819, 3.0394141191761372]
[820, 2.737987326333431]
[821, 1.380211241711606]
[822, 3.0394141191761372]
[823, 3.0394141191761372]
[824, 2.1931245983544616]
[825, 2.436162647040756]
[826, 1.8920946026904804]
[827, 2.2600713879850747]
[828, 2.5622928644564746]
[829, 2.436162647040756]
[830, 2.737987326333431]
[831, 1.255272505103306]
[832, 3.0394141191761372]
[833, 1.99563519459755]
[834, 2.737987326333431]
[835, 0.7781512503836436]
[836, 1.6232492903979006]
[837, 2.737987326333431]
[838, 1.7781512503836436]
[839, 2.0827853703164503]
[840, 3.0394141191761372]
[841, 3.0394141191761372]
[842, 2.737987326333431]
[843, 2.436162647040756]
[844, 2.436162647040756]
[845, 3.0394141191761372]
[846, 3.0394141191761372]
[847, 3.0394141191761372]
[848, 2.737987326333431]
[849, 3.0394141191761372]
[850, 3.0394141191761372]
[851, 2.3404441148401185]
[852, 3.0394141191761372]
[853, 3.0394141191761372]
[854, 3.0394141191761372]
[855, 3.0394141191761372]
[856, 3.0394141191761372]
[857, 3.0394141191761372]
[858, 2.737987326333431]
[859, 2.737987326333431]
[860, 2.737987326333431]
[861, 1.8920946026904804]
[862, 2.2600713879850747]
[863, 3.0394141191761372]
[864, 0.47712125471966244]
[865, 3.0394141191761372]
[866, 3.0394141191761372]
[867, 3.0394141191761372]
[868, 3.0394141191761372]
[869, 2.436162647040756]
[870, 1.8920946026904804]
[871, 2.3404441148401185]
[872, 2.436162647040756]
[873, 1.8920946026904804]
[874, 3.0394141191761372]
[875, 2.5622928644564746]
[876, 2.737987326333431]
[877, 2.3404441148401185]
[878, 2.737987326333431]
[879, 2.5622928644564746]
[880, 3.0394141191761372]
[881, 1.7781512503836436]
[882, 1.4471580313422192]
[883, 2.5622928644564746]
[884, 1.4471580313422192]
[885, 2.3404441148401185]
[886, 2.737987326333431]
[887, 1.8920946026904804]
[888, 3.0394141191761372]
[889, 3.0394141191761372]
[890, 3.0394141191761372]
[891, 2.737987326333431]
[892, 2.3404441148401185]
[893, 1.505149978319906]
[894, 2.5622928644564746]
[895, 2.1335389083702174]
[896, 2.737987326333431]
[897, 2.436162647040756]
[898, 2.2600713879850747]
[899, 3.0394141191761372]
[900, 3.0394141191761372]
[901, 2.5622928644564746]
[902, 2.737987326333431]
[903, 3.0394141191761372]
[904, 2.3404441148401185]
[905, 3.0394141191761372]
[906, 2.3404441148401185]
[907, 1.7323937598229686]
[908, 3.0394141191761372]
[909, 2.737987326333431]
[910, 1.99563519459755]
[911, 3.0394141191761372]
[912, 3.0394141191761372]
[913, 2.436162647040756]
[914, 1.6334684555795864]
[915, 1.568201724066995]
[916, 3.0394141191761372]
[917, 2.737987326333431]
[918, 3.0394141191761372]
[919, 3.0394141191761372]
[920, 3.0394141191761372]
[921, 2.5622928644564746]
[922, 1.1760912590556813]
[923, 2.737987326333431]
[924, 3.0394141191761372]
[925, 3.0394141191761372]
[926, 3.0394141191761372]
[927, 2.5622928644564746]
[928, 3.0394141191761372]
[929, 2.5622928644564746]
[930, 3.0394141191761372]
[931, 2.737987326333431]
[932, 2.737987326333431]
[933, 3.0394141191761372]
[934, 1.6532125137753437]
[935, 3.0394141191761372]
[936, 1.99563519459755]
[937, 2.1335389083702174]
[938, 2.5622928644564746]
[939, 3.0394141191761372]
[940, 2.1931245983544616]
[941, 3.0394141191761372]
[942, 2.5622928644564746]
[943, 2.3404441148401185]
[944, 1.2041199826559248]
[945, 2.037426497940624]
[946, 3.0394141191761372]
[947, 2.3404441148401185]
[948, 2.436162647040756]
[949, 2.0827853703164503]
[950, 3.0394141191761372]
[951, 2.3404441148401185]
[952, 1.3010299956639813]
[953, 2.0827853703164503]
[954, 2.436162647040756]
[955, 2.737987326333431]
[956, 1.6532125137753437]
[957, 3.0394141191761372]
[958, 3.0394141191761372]
[959, 3.0394141191761372]
[960, 1.3617278360175928]
[961, 3.0394141191761372]
[962, 1.4771212547196624]
[963, 2.5622928644564746]
[964, 2.0827853703164503]
[965, 3.0394141191761372]
[966, 3.0394141191761372]
[967, 2.737987326333431]
[968, 3.0394141191761372]
[969, 2.5622928644564746]
[970, 2.436162647040756]
[971, 3.0394141191761372]
[972, 3.0394141191761372]
[973, 3.0394141191761372]
[974, 3.0394141191761372]
[975, 3.0394141191761372]
[976, 1.4913616938342726]
[977, 2.737987326333431]
[978, 2.737987326333431]
[979, 2.737987326333431]
[980, 3.0394141191761372]
[981, 1.7781512503836436]
[982, 1.9590413923210936]
[983, 3.0394141191761372]
[984, 2.3404441148401185]
[985, 0.7781512503836436]
[986, 2.436162647040756]
[987, 3.0394141191761372]
[988, 3.0394141191761372]
[989, 1.8325089127062364]
[990, 3.0394141191761372]
[991, 3.0394141191761372]
[992, 3.0394141191761372]
[993, 3.0394141191761372]
[994, 3.0394141191761372]
[995, 1.863322860120456]
[996, 1.3979400086720377]
[997, 3.0394141191761372]
[998, 2.737987326333431]
[999, 2.5622928644564746]
[1000, 3.0394141191761372]
[1001, 3.0394141191761372]
[1002, 3.0394141191761372]
[1003, 2.2600713879850747]
[1004, 3.0394141191761372]
[1005, 2.436162647040756]
[1006, 2.5622928644564746]
[1007, 3.0394141191761372]
[1008, 2.737987326333431]
[1009, 2.436162647040756]
[1010, 2.5622928644564746]
[1011, 3.0394141191761372]
[1012, 2.1335389083702174]
[1013, 3.0394141191761372]
[1014, 3.0394141191761372]
[1015, 1.146128035678238]
[1016, 2.436162647040756]
[1017, 2.1335389083702174]
[1018, 2.737987326333431]
